# {"exp_name": "ShowImages", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 24414, "stim_db": 65, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": null, "full_screen": true, "force_quit": ["lctrl", "rctrl"], "participant": "ttt", "monitor": null, "trigger_controller": null, "session": "1", "check_rms": "windowed", "suppress_resamp": false, "version": "dev", "enable_video": false, "verbose": null, "date": "2019-01-09 12_05_31.687140", "file": "/home/sjjoo/git/SSWEF/expcode/r21_event_related.py", "version_used": "2.0.0.dev0+4c31ad2"}
timestamp	event	value
40.838201046	flip	40.838198185
40.8714601994	flip	40.8714570999
40.9047682285	flip	40.9047651291
40.9383502007	flip	40.9383471012
40.9714460373	flip	40.9714431763
41.0047540665	flip	41.0047512054
41.0380990505	flip	41.0380961895
41.071513176	flip	41.0715100765
41.1048481464	flip	41.104845047
41.1381862164	flip	41.1381831169
41.1715090275	flip	41.1715061665
41.2048151493	flip	41.2048130035
41.2381811142	flip	41.2381780148
41.271515131	flip	41.2715132236
41.3048610687	flip	41.3048582077
41.3381881714	flip	41.3381850719
41.3715231419	flip	41.3715200424
41.3716650009	dotcolorFix	c
41.4048449993	flip	41.4048421383
41.4381871223	flip	41.4381840229
41.4714992046	flip	41.4714970589
41.5048620701	flip	41.5048601627
41.5049500465	imnumber	128
41.5049831867	imtype	3
41.5381951332	flip	41.5381920338
41.5715241432	flip	41.5715210438
41.6048600674	flip	41.60485816
41.6381862164	flip	41.6381840706
41.6715261936	flip	41.6715230942
41.7048652172	flip	41.7048621178
41.738202095	flip	41.738199234
41.7383460999	dotcolorFix	y
41.7715351582	flip	41.7715320587
41.8048620224	flip	41.8048591614
41.8381960392	flip	41.8381931782
41.8714652061	flip	41.8714621067
41.904774189	flip	41.9047720432
41.9381051064	flip	41.9381020069
41.9714450836	flip	41.9714431763
42.0047662258	flip	42.00476408
42.03810215	flip	42.0380990505
42.0715360641	flip	42.0715332031
42.1048631668	flip	42.1048600674
42.1381940842	flip	42.1381912231
42.1715300083	flip	42.1715271473
42.2048630714	flip	42.2048602104
42.2050070763	dotcolorFix	c
42.2381920815	flip	42.2381901741
42.2715260983	flip	42.2715229988
42.3048520088	flip	42.3048491478
42.3381950855	flip	42.3381931782
42.3715221882	flip	42.3715190887
42.4048490524	flip	42.4048471451
42.4381911755	flip	42.438188076
42.4715230465	flip	42.4715201855
42.5048530102	flip	42.5048501492
42.5381882191	flip	42.5381860733
42.5715260506	flip	42.5715231895
42.6048340797	flip	42.6048312187
42.6381850243	flip	42.6381821632
42.6715152264	flip	42.6715121269
42.704857111	flip	42.7048540115
42.7381761074	flip	42.738173008
42.7715280056	flip	42.7715251446
42.7716710567	dotcolorFix	b
42.8048532009	flip	42.8048501015
42.8381850719	flip	42.8381831646
42.8714520931	flip	42.8714492321
